Pattern,ItemIDs,Utility,Size
O_PRCP=VeryLow,[1258],99388,1
ORIGIN_INDEX=JFK + O_LONGITUDE=VeryHigh,"[1014, 1292]",98337,2
OP_CARRIER=DL + O_LONGITUDE=VeryHigh,"[5, 1292]",98208,2
CRS_ARR_TIME_MIN=Mid + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1245, 1286, 1292]",98085,3
CRS_ELAPSED_TIME=High,[1251],97904,1
O_WSPD=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1267, 1286, 1292]",96911,3
O_PRCP=VeryLow + O_LONGITUDE=VeryHigh,"[1258, 1292]",95991,2
CRS_ELAPSED_TIME=VeryHigh + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[1252, 1267, 1292]",95721,3
CRS_DEP_TIME_MIN=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1241, 1272, 1292]",95364,3
FL_WEEK=1 + O_LONGITUDE=VeryHigh,"[932, 1292]",95122,2
CRS_ARR_TIME_MIN=Mid + O_LONGITUDE=VeryHigh,"[1245, 1292]",95117,2
OP_CARRIER=B6 + O_LONGITUDE=VeryHigh,"[4, 1292]",94550,2
CRS_ELAPSED_TIME=VeryHigh + O_WSPD=VeryHigh,"[1252, 1267]",93895,2
OP_CARRIER=AA + CRS_ELAPSED_TIME=VeryHigh,"[2, 1252]",93825,2
O_TEMP=VeryLow + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[1253, 1252, 1292]",93056,3
O_TEMP=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1257, 1247, 1242]",92789,3
CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[1241, 1252, 1292]",89231,3
D_WSPD=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[1282, 1252, 1292]",88886,3
O_TEMP=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1257, 1242]",88075,2
CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High,"[1252, 1286]",87940,2
CRS_ELAPSED_TIME=Mid + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1250, 1286, 1292]",87464,3
O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh,"[1267, 1247]",87354,2
CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1251, 1272, 1292]",87095,3
OP_CARRIER=AA + CRS_DEP_TIME_MIN=VeryHigh,"[2, 1242]",86419,2
CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1241, 1246, 1272, 1292]",86348,4
CRS_ELAPSED_TIME=Mid + O_LONGITUDE=VeryHigh,"[1250, 1292]",86261,2
FL_WEEK=1 + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[932, 1286, 1292]",86241,3
D_TEMP=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1272, 1247, 1242]",84865,3
OP_CARRIER=AA + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[2, 1247, 1242]",84220,3
CRS_DEP_TIME_MIN=High + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[1241, 1267, 1292]",82793,3
CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + O_LONGITUDE=VeryHigh,"[1246, 1251, 1292]",82674,3
CRS_ELAPSED_TIME=High + CRS_DEP_TIME_MIN=VeryHigh,"[1251, 1242]",81897,2
CRS_ELAPSED_TIME=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh,"[1252, 1247]",81883,2
CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High,"[1241, 1246]",81706,2
OP_CARRIER=AA + O_LONGITUDE=VeryHigh,"[2, 1292]",81654,2
CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High,"[1242, 1286]",81601,2
