Pattern,ItemIDs,Utility,Size
CRS_ARR_TIME_MIN=VeryLow + O_LATITUDE=VeryLow + CRS_DEP_TIME_MIN=VeryLow + O_LONGITUDE=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1243, 1283, 1238, 1291, 1258, 1273]",9999,6
FL_DAY=22 + O_LATITUDE=Low + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[922, 1284, 1289, 1258, 1273]",9999,5
O_WSPD=VeryLow + CRS_ARR_TIME_MIN=VeryLow + CRS_ELAPSED_TIME=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1263, 1243, 1249, 1258, 1273]",9999,5
O_TEMP=VeryHigh + FL_WEEK=6 + O_PRCP=VeryLow,"[1257, 937, 1258]",9999,3
CRS_ARR_TIME_MIN=VeryLow + O_TEMP=Mid + O_LONGITUDE=Mid,"[1243, 1255, 1290]",9999,3
CRS_DEP_TIME_MIN=VeryLow + O_LATITUDE=Mid + CRS_ELAPSED_TIME=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1238, 1285, 1249, 1258, 1273]",9998,5
OP_CARRIER=YX + O_WSPD=Low + CRS_ELAPSED_TIME=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[15, 1264, 1249, 1258, 1273]",9997,5
D_LONGITUDE=VeryLow + CRS_DEP_TIME_MIN=Low + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1298, 1239, 1289, 1258, 1273]",9997,5
O_WSPD=VeryLow + CRS_ARR_TIME_MIN=VeryLow + CRS_DEP_TIME_MIN=VeryLow + O_LONGITUDE=High + O_PRCP=VeryLow,"[1263, 1243, 1238, 1291, 1258]",9994,5
FL_DAY=29 + O_LATITUDE=VeryLow + O_PRCP=VeryLow + D_PRCP=VeryLow,"[929, 1283, 1258, 1273]",9992,4
D_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + OP_CARRIER=WN + D_PRCP=VeryLow,"[1298, 1248, 14, 1273]",9991,4
D_LATITUDE=VeryHigh + O_TEMP=Mid + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1297, 1255, 1289, 1258]",9991,4
