ItemID,Label
1,OP_CARRIER=9E
2,OP_CARRIER=AA
3,OP_CARRIER=AS
4,OP_CARRIER=B6
5,OP_CARRIER=DL
6,OP_CARRIER=F9
7,OP_CARRIER=G4
8,OP_CARRIER=HA
9,OP_CARRIER=MQ
10,OP_CARRIER=NK
11,OP_CARRIER=OH
12,OP_CARRIER=OO
13,OP_CARRIER=UA
14,OP_CARRIER=WN
15,OP_CARRIER=YX
16,OP_CARRIER_FL_NUM=7.0
17,OP_CARRIER_FL_NUM=15.0
18,OP_CARRIER_FL_NUM=18.0
19,OP_CARRIER_FL_NUM=26.0
20,OP_CARRIER_FL_NUM=28.0
21,OP_CARRIER_FL_NUM=30.0
22,OP_CARRIER_FL_NUM=31.0
23,OP_CARRIER_FL_NUM=36.0
24,OP_CARRIER_FL_NUM=48.0
25,OP_CARRIER_FL_NUM=55.0
26,OP_CARRIER_FL_NUM=61.0
27,OP_CARRIER_FL_NUM=102.0
28,OP_CARRIER_FL_NUM=107.0
29,OP_CARRIER_FL_NUM=118.0
30,OP_CARRIER_FL_NUM=120.0
31,OP_CARRIER_FL_NUM=123.0
32,OP_CARRIER_FL_NUM=125.0
33,OP_CARRIER_FL_NUM=133.0
34,OP_CARRIER_FL_NUM=148.0
35,OP_CARRIER_FL_NUM=149.0
36,OP_CARRIER_FL_NUM=156.0
37,OP_CARRIER_FL_NUM=158.0
38,OP_CARRIER_FL_NUM=162.0
39,OP_CARRIER_FL_NUM=164.0
40,OP_CARRIER_FL_NUM=165.0
41,OP_CARRIER_FL_NUM=178.0
42,OP_CARRIER_FL_NUM=179.0
43,OP_CARRIER_FL_NUM=185.0
44,OP_CARRIER_FL_NUM=187.0
45,OP_CARRIER_FL_NUM=192.0
46,OP_CARRIER_FL_NUM=194.0
47,OP_CARRIER_FL_NUM=197.0
48,OP_CARRIER_FL_NUM=198.0
49,OP_CARRIER_FL_NUM=203.0
50,OP_CARRIER_FL_NUM=213.0
51,OP_CARRIER_FL_NUM=227.0
52,OP_CARRIER_FL_NUM=232.0
53,OP_CARRIER_FL_NUM=254.0
54,OP_CARRIER_FL_NUM=259.0
55,OP_CARRIER_FL_NUM=261.0
56,OP_CARRIER_FL_NUM=265.0
57,OP_CARRIER_FL_NUM=268.0
58,OP_CARRIER_FL_NUM=278.0
59,OP_CARRIER_FL_NUM=281.0
60,OP_CARRIER_FL_NUM=288.0
61,OP_CARRIER_FL_NUM=292.0
62,OP_CARRIER_FL_NUM=295.0
63,OP_CARRIER_FL_NUM=300.0
64,OP_CARRIER_FL_NUM=301.0
65,OP_CARRIER_FL_NUM=305.0
66,OP_CARRIER_FL_NUM=310.0
67,OP_CARRIER_FL_NUM=312.0
68,OP_CARRIER_FL_NUM=322.0
69,OP_CARRIER_FL_NUM=323.0
