Feature,LLM_datafree,LLM_datainformed,SHAP_mean_abs,HUIM_driver_freq,HUIM_protector_freq,SHAP_rank
O_LONGITUDE,0.2333333333333333,0.1666666666666666,0.1096783333333334,0.59,0.52,1
OP_CARRIER,0.7166666666666667,0.5833333333333334,0.0648233333333333,0.09,0.29,2
CRS_ELAPSED_TIME,0.6333333333333333,0.7666666666666666,0.0631583333333333,0.37,0.35,3
O_TEMP,0.3166666666666666,0.2333333333333333,0.0502820833333333,0.12,0.27,4
OP_CARRIER_FL_NUM,0.1166666666666666,0.1333333333333333,0.04736375,0.0,0.0,5
CRS_DEP_TIME_MIN,0.7166666666666667,0.6,0.0443929166666667,0.37,0.29,6
O_LATITUDE,0.3833333333333333,0.3,0.0376329166666666,0.28,0.27,7
CRS_ARR_TIME_MIN,0.6,0.7333333333333334,0.0347979166666667,0.3,0.19,8
D_LONGITUDE,0.1833333333333333,0.1666666666666666,0.0287783333333333,0.06,0.26,9
ORIGIN_INDEX,0.7999999999999999,0.75,0.0277420833333333,0.05,0.08,10
FL_DAY,0.2333333333333333,0.1333333333333333,0.0267829166666666,0.0,0.06,11
O_WSPD,0.75,0.5833333333333334,0.0254424999999999,0.12,0.2,12
O_PRCP,0.7666666666666666,0.65,0.01889875,0.03,0.55,13
D_TEMP,0.3166666666666666,0.2166666666666666,0.0178666666666666,0.23,0.09,14
DEST_INDEX,0.6833333333333332,0.6333333333333333,0.0176912499999999,0.0,0.03,15
D_LATITUDE,0.1833333333333333,0.1666666666666666,0.0152591666666666,0.05,0.19,16
D_PRCP,0.5166666666666666,0.6166666666666667,0.0120583333333333,0.0,0.47,17
D_WSPD,0.2833333333333333,0.3666666666666667,0.0073045833333333,0.04,0.14,18
FL_WEEK,0.6499999999999999,0.6333333333333333,0.0013808333333333,0.04,0.03,19
