OP_CARRIER,OP_CARRIER_FL_NUM,FL_DAY,FL_WEEK,ORIGIN_INDEX,DEST_INDEX,CRS_DEP_TIME_MIN,CRS_ARR_TIME_MIN,CRS_ELAPSED_TIME,O_TEMP,O_PRCP,O_WSPD,D_TEMP,D_PRCP,D_WSPD,O_LATITUDE,O_LONGITUDE,D_LATITUDE,D_LONGITUDE,ARR_DELAY,DELAYED
WN,205.0,5,6,LAS,SJC,625,715,90.0,30.6,0.0,7.6,17.2,0.0,0.0,36.08036,-115.15233,37.36186,-121.92901,-20.0,1
WN,2497.0,1,7,PHX,DAL,755,950,135.0,12.2,0.0,13.0,17.2,0.0,22.3,33.43417,-112.00806,32.84711,-96.85177,-20.0,1
WN,827.0,8,7,SAT,DEN,960,1035,135.0,21.1,0.0,16.6,12.2,0.0,37.1,29.53369,-98.46978,39.85841,-104.667,-20.0,1
OO,4096.0,7,2,MEM,MSP,465,605,140.0,4.4,0.0,5.4,-3.3,0.0,11.2,35.04242,-89.97667,44.88055,-93.21692,-7.0,0
WN,4446.0,3,5,GEG,BOI,390,510,60.0,0.6,0.3,13.0,1.7,0.0,9.4,47.61986,-117.53384,43.56444,-116.22278,-10.0,0
NK,143.0,8,6,BQN,MCO,239,360,181.0,22.0,0.0,11.2,10.0,0.0,5.4,18.49486,-67.12944,28.42889,-81.31603,14.0,0
OH,5125.0,1,7,CLT,ILM,870,933,63.0,11.7,0.0,7.6,26.0,0.0,32.0,35.21401,-80.94313,34.27061,-77.90256,-18.0,1
AA,1360.0,2,7,DCA,DFW,1045,1217,232.0,5.6,0.3,16.6,25.6,0.0,24.1,38.85208,-77.03772,32.89595,-97.0372,11.0,0
YX,3410.0,5,7,DCA,EWR,703,780,77.0,3.9,0.0,29.5,3.2,0.0,27.7,38.85208,-77.03772,40.6925,-74.16866,-26.0,1
DL,393.0,2,1,BOS,ATL,515,680,165.0,4.4,0.0,24.1,3.3,0.0,13.0,42.36435,-71.00518,33.64044,-84.42694,-22.0,1
WN,1638.0,1,6,ATL,PIT,1185,1290,105.0,32.2,0.0,16.6,23.3,1.0,5.4,33.64044,-84.42694,40.49147,-80.23287,-3.0,0
G4,1782.0,7,6,FLL,AVL,480,594,114.0,25.0,0.8,20.5,6.7,0.0,0.0,26.07258,-80.15275,35.43619,-82.54181,-9.0,0
WN,575.0,5,2,HOU,MCO,515,715,140.0,23.0,0.0,19.0,22.2,0.0,0.0,29.64542,-95.27889,28.42889,-81.31603,-21.0,1
YX,3487.0,6,7,ORD,OMA,1200,1305,105.0,23.3,0.0,22.3,35.0,0.0,20.5,41.9796,-87.90446,41.30252,-95.89417,-28.0,1
WN,3388.0,4,5,MDW,MCO,1190,1405,155.0,7.2,0.0,14.8,22.2,0.0,5.4,41.78598,-87.75242,28.42889,-81.31603,-11.0,0
WN,3862.0,1,6,SJC,LAS,565,655,90.0,9.4,0.0,0.0,7.8,0.0,7.6,37.36186,-121.92901,36.08036,-115.15233,-9.0,0
WN,1219.0,6,4,PHX,ONT,460,480,80.0,4.4,0.0,13.0,6.7,0.0,0.0,33.43417,-112.00806,34.056,-117.60119,-13.0,0
AS,71.0,8,1,JNU,GST,1055,1086,31.0,10.6,0.0,14.8,9.4,0.0,7.6,58.35496,-134.57628,58.42438,-135.70738,-18.0,1
YX,5719.0,9,1,BOS,LGA,420,509,89.0,7.8,0.0,5.4,14.0,0.0,9.4,42.36435,-71.00518,40.77724,-73.87261,-35.0,1
WN,854.0,1,2,FLL,BNA,1230,1305,135.0,32.2,0.0,24.1,28.3,0.0,0.0,26.07258,-80.15275,36.12448,-86.67818,-18.0,1
WN,2481.0,5,1,LAX,SJC,585,660,75.0,20.0,0.0,11.2,15.0,0.0,0.0,33.94254,-118.40807,37.36186,-121.92901,-18.0,1
AA,1448.0,5,3,AUS,DFW,990,1054,64.0,33.3,0.0,14.8,27.2,0.0,20.5,30.19453,-97.66987,32.89595,-97.0372,-11.0,0
9E,5147.0,6,2,CVG,MSP,975,1029,114.0,16.7,0.0,16.6,21.0,0.0,24.0,39.04614,-84.66217,44.88055,-93.21692,-8.0,0
MQ,4153.0,2,4,DFW,GSP,704,901,137.0,15.0,0.0,16.6,13.9,0.0,11.2,32.89595,-97.0372,34.89567,-82.21886,-25.0,1
WN,3599.0,4,6,MCO,FLL,560,630,70.0,22.2,0.0,20.5,23.3,0.0,9.4,28.42889,-81.31603,26.07258,-80.15275,9.0,0
B6,577.0,6,1,FLL,SFO,600,773,353.0,24.4,0.0,0.0,13.3,0.0,37.1,26.07258,-80.15275,37.619,-122.37484,-15.0,0
WN,1437.0,6,1,PWM,BWI,380,475,95.0,16.1,0.0,11.2,24.4,0.0,5.4,43.64617,-70.30875,39.1754,-76.6682,-19.0,1
UA,572.0,8,2,BOS,EWR,969,1055,86.0,-1.1,0.0,22.3,1.0,0.0,25.9,42.36435,-71.00518,40.6925,-74.16866,-12.0,0
MQ,3509.0,4,5,DFW,XNA,1130,1210,80.0,11.7,0.0,11.2,8.9,0.0,18.4,32.89595,-97.0372,36.28187,-94.30681,5.0,0
OO,4244.0,7,2,MSP,ABR,795,863,68.0,24.4,0.0,9.4,23.9,0.0,0.0,44.88055,-93.21692,45.44906,-98.42183,77.0,1
WN,853.0,9,4,DCA,MSY,1080,1200,180.0,2.8,0.0,5.4,22.2,0.0,24.1,38.85208,-77.03772,29.99339,-90.25803,-9.0,0
DL,1281.0,9,1,MSP,BIS,1228,1315,87.0,3.9,0.0,13.0,0.6,0.0,0.0,44.88055,-93.21692,46.77411,-100.74672,-7.0,0
DL,404.0,7,1,ATL,BOS,1275,1413,138.0,5.6,0.0,27.7,-1.1,0.0,13.0,33.64044,-84.42694,42.36435,-71.00518,-5.0,0
9E,5174.0,9,1,DTW,AZO,1230,1300,70.0,17.2,0.0,24.1,15.0,0.0,24.1,42.21206,-83.34884,42.23488,-85.55206,-16.0,1
NK,706.0,4,3,DTW,LAX,1199,1329,310.0,9.4,0.0,25.9,18.9,0.0,22.3,42.21206,-83.34884,33.94254,-118.40807,1.0,0
UA,519.0,9,3,ORD,LAS,840,965,245.0,16.1,0.0,25.9,20.0,0.0,16.6,41.9796,-87.90446,36.08036,-115.15233,-17.0,1
