ItemID,Label
1,OP_CARRIER=9E
2,OP_CARRIER=AA
3,OP_CARRIER=AS
4,OP_CARRIER=B6
5,OP_CARRIER=DL
6,OP_CARRIER=F9
7,OP_CARRIER=G4
8,OP_CARRIER=HA
9,OP_CARRIER=MQ
10,OP_CARRIER=NK
11,OP_CARRIER=OH
12,OP_CARRIER=OO
13,OP_CARRIER=UA
14,OP_CARRIER=WN
15,OP_CARRIER=YX
16,OP_CARRIER_FL_NUM=1.0
17,OP_CARRIER_FL_NUM=3.0
18,OP_CARRIER_FL_NUM=5.0
19,OP_CARRIER_FL_NUM=10.0
20,OP_CARRIER_FL_NUM=21.0
21,OP_CARRIER_FL_NUM=26.0
22,OP_CARRIER_FL_NUM=30.0
23,OP_CARRIER_FL_NUM=32.0
24,OP_CARRIER_FL_NUM=34.0
25,OP_CARRIER_FL_NUM=36.0
26,OP_CARRIER_FL_NUM=37.0
27,OP_CARRIER_FL_NUM=39.0
28,OP_CARRIER_FL_NUM=42.0
29,OP_CARRIER_FL_NUM=52.0
30,OP_CARRIER_FL_NUM=59.0
31,OP_CARRIER_FL_NUM=63.0
32,OP_CARRIER_FL_NUM=64.0
33,OP_CARRIER_FL_NUM=67.0
34,OP_CARRIER_FL_NUM=68.0
35,OP_CARRIER_FL_NUM=69.0
36,OP_CARRIER_FL_NUM=76.0
37,OP_CARRIER_FL_NUM=77.0
38,OP_CARRIER_FL_NUM=79.0
39,OP_CARRIER_FL_NUM=80.0
40,OP_CARRIER_FL_NUM=81.0
41,OP_CARRIER_FL_NUM=82.0
42,OP_CARRIER_FL_NUM=83.0
43,OP_CARRIER_FL_NUM=87.0
44,OP_CARRIER_FL_NUM=101.0
45,OP_CARRIER_FL_NUM=102.0
46,OP_CARRIER_FL_NUM=107.0
47,OP_CARRIER_FL_NUM=114.0
48,OP_CARRIER_FL_NUM=115.0
49,OP_CARRIER_FL_NUM=119.0
50,OP_CARRIER_FL_NUM=126.0
51,OP_CARRIER_FL_NUM=131.0
52,OP_CARRIER_FL_NUM=136.0
53,OP_CARRIER_FL_NUM=137.0
54,OP_CARRIER_FL_NUM=140.0
55,OP_CARRIER_FL_NUM=143.0
56,OP_CARRIER_FL_NUM=144.0
57,OP_CARRIER_FL_NUM=152.0
58,OP_CARRIER_FL_NUM=153.0
59,OP_CARRIER_FL_NUM=162.0
60,OP_CARRIER_FL_NUM=164.0
61,OP_CARRIER_FL_NUM=168.0
62,OP_CARRIER_FL_NUM=174.0
63,OP_CARRIER_FL_NUM=176.0
64,OP_CARRIER_FL_NUM=177.0
65,OP_CARRIER_FL_NUM=182.0
66,OP_CARRIER_FL_NUM=183.0
67,OP_CARRIER_FL_NUM=184.0
68,OP_CARRIER_FL_NUM=185.0
69,OP_CARRIER_FL_NUM=187.0
